Date	SUSHI
2021-07-12	8.1488
2021-07-11	7.9903
2021-07-10	8.4069
2021-07-09	7.8973
2021-07-08	8.7869
2021-07-07	8.9850
2021-07-06	8.0757
2021-07-05	7.9349
2021-07-04	7.6188
2021-07-03	7.4184
2021-07-02	7.4267
2021-07-01	8.1578
2021-06-30	7.9365
2021-06-29	7.5900
2021-06-28	7.1243
2021-06-27	6.8326
2021-06-26	6.3010
2021-06-25	7.0614
2021-06-24	7.0541
2021-06-23	6.8063
2021-06-22	6.6406
2021-06-21	8.4238
2021-06-20	7.4905
2021-06-19	7.8367
2021-06-18	8.4709
2021-06-17	8.4779
2021-06-16	9.1129
2021-06-15	9.2233
2021-06-14	8.6330
2021-06-13	7.8366
2021-06-12	8.5646
2021-06-11	9.4116
2021-06-10	10.5484
2021-06-09	10.0849
2021-06-08	10.2748
2021-06-07	11.5472
2021-06-06	11.5750
2021-06-05	11.8561
2021-06-04	13.2310
2021-06-03	12.5498
2021-06-02	12.0522
2021-06-01	12.4768
2021-05-31	10.8332
2021-05-30	10.0381
2021-05-29	10.6044
2021-05-28	12.1076
2021-05-27	13.4518
2021-05-26	12.2593
2021-05-25	11.9748
2021-05-24	9.0178
2021-05-23	11.0874
2021-05-22	12.7726
2021-05-21	15.1424
2021-05-20	13.1614
2021-05-19	21.5076
2021-05-18	16.1480
2021-05-17	16.5618
2021-05-16	16.1742
2021-05-15	18.5616
2021-05-14	14.7614
2021-05-13	14.8513
2021-05-12	15.2527
2021-05-11	13.8424
2021-05-10	15.5065
2021-05-09	16.3141
2021-05-08	15.8053
2021-05-07	16.5137
2021-05-06	14.3679
2021-05-05	12.6795
2021-05-04	14.3848
2021-05-03	13.9007
2021-05-02	14.7707
2021-05-01	14.3565
2021-04-30	14.0470
2021-04-29	14.3088
2021-04-28	14.2767
2021-04-27	12.1542
2021-04-26	10.9605
2021-04-25	10.7009
2021-04-24	11.8275
2021-04-23	12.3272
2021-04-22	12.4544
2021-04-21	12.7047
2021-04-20	12.1486
2021-04-19	14.0251
2021-04-18	16.0184
2021-04-17	16.2832
