Date	FTT
2021-06-06	33.52
2021-06-05	34.69
2021-06-04	36.45
2021-06-03	34.96
2021-06-02	33.81
2021-06-01	34.08
2021-05-31	31.43
2021-05-30	30.34
2021-05-29	32.25
2021-05-28	35.90
2021-05-27	36.78
2021-05-26	33.22
2021-05-25	33.32
2021-05-24	27.00
2021-05-23	33.32
2021-05-22	36.06
2021-05-21	40.78
2021-05-20	36.75
2021-05-19	51.02
2021-05-18	50.42
2021-05-17	54.01
2021-05-16	53.25
2021-05-15	57.87
2021-05-14	54.67
2021-05-13	56.22
2021-05-12	61.31
2021-05-11	59.20
2021-05-10	60.94
2021-05-09	61.35
2021-05-08	58.60
2021-05-07	57.99
2021-05-06	58.50
2021-05-05	53.80
2021-05-04	57.90
2021-05-03	54.94
2021-05-02	55.47
2021-05-01	54.72
2021-04-30	52.38
2021-04-29	52.90
2021-04-28	53.61
2021-04-27	50.84
2021-04-26	46.42
2021-04-25	45.49
2021-04-24	47.42
2021-04-23	48.82
2021-04-22	50.89
2021-04-21	52.76
2021-04-20	49.31
2021-04-19	50.21
2021-04-18	52.18
2021-04-17	53.24
2021-04-16	56.24
2021-04-15	56.14
2021-04-14	55.28
2021-04-13	52.82
2021-04-12	51.41
2021-04-11	49.16
2021-04-10	49.99
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
