Date	SOL
2021-06-06	39.75
2021-06-05	37.42
2021-06-04	39.58
2021-06-03	34.02
2021-06-02	30.94
2021-06-01	32.77
2021-05-31	28.60
2021-05-30	27.41
2021-05-29	29.00
2021-05-28	33.68
2021-05-27	35.48
2021-05-26	30.05
2021-05-25	31.40
2021-05-24	24.50
2021-05-23	31.23
2021-05-22	38.99
2021-05-21	44.45
2021-05-20	35.04
2021-05-19	56.09
2021-05-18	46.66
2021-05-17	46.90
2021-05-16	43.40
2021-05-15	42.70
2021-05-14	41.03
2021-05-13	43.24
2021-05-12	44.59
2021-05-11	42.87
2021-05-10	44.34
2021-05-09	45.62
2021-05-08	43.15
2021-05-07	43.50
2021-05-06	44.97
2021-05-05	42.64
2021-05-04	45.98
2021-05-03	46.90
2021-05-02	49.50
2021-05-01	42.89
2021-04-30	42.50
2021-04-29	44.85
2021-04-28	43.16
2021-04-27	43.89
2021-04-26	47.54
2021-04-25	40.85
2021-04-24	37.26
2021-04-23	38.90
2021-04-22	32.68
2021-04-21	31.68
2021-04-20	31.48
2021-04-19	32.34
2021-04-18	25.14
2021-04-17	25.37
2021-04-16	27.82
2021-04-15	26.44
2021-04-14	27.40
2021-04-13	28.54
2021-04-12	27.92
2021-04-11	26.81
2021-04-10	27.65
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
