Date	MOB
2021-07-12	11.3511
2021-07-11	11.2392
2021-07-10	11.0005
2021-07-09	10.7855
2021-07-08	9.8276
2021-07-07	9.5654
2021-07-06	9.4292
2021-07-05	9.8239
2021-07-04	9.6011
2021-07-03	9.6973
2021-07-02	10.3319
2021-07-01	10.2689
2021-06-30	10.3537
2021-06-29	9.9844
2021-06-28	10.0214
2021-06-27	9.5767
2021-06-26	9.6731
2021-06-25	10.1894
2021-06-24	9.8044
2021-06-23	9.7801
2021-06-22	11.5069
2021-06-21	12.4268
2021-06-20	13.0487
2021-06-19	12.7936
2021-06-18	13.3545
2021-06-17	13.7695
2021-06-16	14.0770
2021-06-15	14.1853
2021-06-14	14.6553
2021-06-13	13.3977
2021-06-12	13.1943
2021-06-11	11.8572
2021-06-10	13.8226
2021-06-09	16.6438
2021-06-08	14.8956
2021-06-07	15.2608
2021-06-06	15.3317
2021-06-05	15.8404
2021-06-04	15.9856
2021-06-03	16.8190
2021-06-02	16.4961
2021-06-01	16.8598
2021-05-31	16.6045
2021-05-30	17.3644
2021-05-29	16.6354
2021-05-28	14.6285
2021-05-27	13.9567
2021-05-26	13.3073
2021-05-25	12.7751
2021-05-24	8.2607
2021-05-23	9.5814
2021-05-22	11.6276
2021-05-21	14.8451
2021-05-20	14.6052
2021-05-19	23.2411
2021-05-18	23.9373
2021-05-17	25.5019
2021-05-16	26.4816
2021-05-15	27.3137
2021-05-14	27.1885
2021-05-13	26.4911
2021-05-12	28.4123
2021-05-11	28.4761
2021-05-10	28.6915
2021-05-09	28.0602
2021-05-08	29.5471
2021-05-07	30.3948
2021-05-06	33.9808
2021-05-05	31.3814
2021-05-04	31.7441
2021-05-03	31.5138
2021-05-02	31.4684
2021-05-01	32.1738
2021-04-30	29.2922
2021-04-29	30.5599
2021-04-28	32.7668
2021-04-27	32.2941
2021-04-26	26.2721
2021-04-25	25.0523
2021-04-24	26.8796
2021-04-23	30.5139
2021-04-22	31.0661
2021-04-21	32.2263
2021-04-20	37.3551
2021-04-19	38.3734
2021-04-18	43.5460
2021-04-17	48.2612
2021-04-16	54.3469
2021-04-15	54.7119
2021-04-14	53.5548
2021-04-13	52.9197
2021-04-12	59.9463
2021-04-11	57.4399
2021-04-10	55.9927
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
