Date	BTC
2021-05-23	37,531.45
2021-05-22	37,371.03
2021-05-21	40,596.95
2021-05-20	36,753.67
2021-05-19	42,944.98
2021-05-18	43,488.06
2021-05-17	46,415.90
2021-05-16	46,716.64
2021-05-15	49,855.50
2021-05-14	49,682.98
2021-05-13	46980.02
2021-05-12	56714.53
2021-05-11	55847.24
2021-05-10	58250.87
2021-05-09	58877.39
2021-05-08	57352.77
2021-05-07	56413.95
2021-05-06	57441.31
2021-05-05	53252.16
2021-05-04	57214.18
2021-05-03	56601.5
2021-05-02	57825.86
2021-05-01	57714.66
2021-04-30	53568.66
2021-04-29	54858.09
2021-04-28	55036.64
2021-04-27	54030.3
2021-04-26	49077.79
2021-04-25	50052.83
2021-04-24	51143.23
2021-04-23	51739.81
2021-04-22	53857.11
2021-04-21	56471.13
2021-04-20	55681.79
2021-04-19	56191.59
2021-04-18	60701.89
2021-04-17	61529.92
2021-04-16	63258.5
2021-04-15	63075.2
2021-04-14	63523.75
2021-04-13	59890.02
2021-04-12	60175.95
2021-04-11	59846.23
2021-04-10	58253.78
2021-04-09	58326.56
2021-04-08	56099.91
2021-04-07	58186.51
2021-04-06	59171.93
2021-04-05	58760.88
2021-04-04	57604.84
2021-04-03	59397.41
2021-04-02	59098.88
2021-04-01	58926.56
2021-03-31	58930.28
2021-03-30	57750.13
2021-03-29	55947.9
2021-03-28	55974.94
2021-03-27	55137.57
2021-03-26	51683.01
2021-03-25	52726.75
2021-03-24	54710.49
2021-03-23	54511.66
2021-03-22	57517.89
2021-03-21	58309.91
2021-03-20	58332.26
2021-03-19	57850.44
2021-03-18	58893.08
2021-03-17	56825.83
2021-03-16	55840.79
2021-03-15	59267.43
2021-03-14	61221.13
2021-03-13	57343.37
2021-03-12	57821.22
2021-03-11	55963.18
2021-03-10	54824.01
2021-03-09	52272.97
2021-03-08	51174.12
2021-03-07	48918.68
2021-03-06	48899.23
2021-03-05	48527.03
2021-03-04	50522.3
2021-03-03	48415.82
2021-03-02	49612.11
2021-03-01	45159.5
2021-02-28	46194.02
2021-02-27	46344.77
2021-02-26	47180.46
2021-02-25	49709.08
2021-02-24	48835.09
2021-02-23	54204.93
2021-02-22	57532.74
2021-02-21	56068.57
2021-02-20	55887.34
2021-02-19	51675.98
2021-02-18	52140.97
2021-02-17	49207.28
2021-02-16	47944.46
2021-02-15	48696.54
2021-02-14	47114.51
2021-02-13	47491.2
2021-02-12	47877.04
2021-02-11	44898.71
2021-02-10	46469.76
2021-02-09	46184.99
2021-02-08	38886.83
2021-02-07	39250.19
2021-02-06	38138.39
2021-02-05	36931.55
2021-02-04	37475.11
2021-02-03	35510.82
2021-02-02	33533.2
2021-02-01	33114.58
2021-01-31	34270.88
2021-01-30	34295.93
2021-01-29	34318.67
2021-01-28	30441.04
2021-01-27	32564.03
2021-01-26	32358.61
2021-01-25	32285.8
2021-01-24	32064.38
2021-01-23	32985.76
2021-01-22	30817.63
2021-01-21	35549.4
2021-01-20	36050.11
2021-01-19	36642.23
2021-01-18	35792.24
2021-01-17	36163.65
2021-01-16	36821.65
2021-01-15	39156.71
2021-01-14	37325.11
2021-01-13	33915.12
2021-01-12	35516.36
2021-01-11	38346.53
2021-01-10	40254.22
2021-01-09	40788.64
2021-01-08	39381.77
2021-01-07	36833.88
2021-01-06	34013.61
2021-01-05	31977.04
2021-01-04	32810.95
2021-01-03	32129.41
2021-01-02	29376.46
2021-01-01	28994.01
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
