Date	ALPHA
2021-07-12	0.769166
2021-07-11	0.753414
2021-07-10	0.739270
2021-07-09	0.737193
2021-07-08	0.908821
2021-07-07	0.788245
2021-07-06	0.606828
2021-07-05	0.530934
2021-07-04	0.459011
2021-07-03	0.444500
2021-07-02	0.436233
2021-07-01	0.484560
2021-06-30	0.474365
2021-06-29	0.420736
2021-06-28	0.383766
2021-06-27	0.358773
2021-06-26	0.354189
2021-06-25	0.395709
2021-06-24	0.373445
2021-06-23	0.334695
2021-06-22	0.392428
2021-06-21	0.538498
2021-06-20	0.537279
2021-06-19	0.558700
2021-06-18	0.598766
2021-06-17	0.591262
2021-06-16	0.639666
2021-06-15	0.655821
2021-06-14	0.612134
2021-06-13	0.580613
2021-06-12	0.591707
2021-06-11	0.661265
2021-06-10	0.727899
2021-06-09	0.675883
2021-06-08	0.705331
2021-06-07	0.791627
2021-06-06	0.778734
2021-06-05	0.824988
2021-06-04	0.925716
2021-06-03	0.837847
2021-06-02	0.824070
2021-06-01	0.867912
2021-05-31	0.752692
2021-05-30	0.701371
2021-05-29	0.769435
2021-05-28	0.893612
2021-05-27	0.968849
2021-05-26	0.855353
2021-05-25	0.930716
2021-05-24	0.654306
2021-05-23	0.884498
2021-05-22	1.050606
2021-05-21	1.314407
2021-05-20	1.148850
2021-05-19	1.893110
2021-05-18	1.779962
2021-05-17	1.894580
2021-05-16	1.938770
2021-05-15	2.217828
2021-05-14	2.239564
2021-05-13	1.808345
2021-05-12	1.877579
2021-05-11	1.666864
2021-05-10	1.882223
2021-05-09	1.875637
2021-05-08	1.943685
2021-05-07	1.929280
2021-05-06	1.988567
2021-05-05	1.861372
2021-05-04	2.177545
2021-05-03	1.972665
2021-05-02	2.043934
2021-05-01	1.933441
2021-04-30	1.607128
2021-04-29	1.432247
2021-04-28	1.449822
2021-04-27	1.334782
2021-04-26	1.218916
2021-04-25	1.232505
2021-04-24	1.373391
2021-04-23	1.362228
2021-04-22	1.520555
2021-04-21	1.360381
2021-04-20	1.275127
2021-04-19	1.472644
2021-04-18	1.693354
2021-04-17	1.628280
2021-04-16	1.663500
2021-04-15	1.614092
2021-04-14	1.530677
2021-04-13	1.632502
2021-04-12	1.574630
2021-04-11	1.587883
2021-04-10	1.689126
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
